 개미네 집 주소는?| 허리도 가늘군 만지면 부러지리.
설익은 밥을 데우면?|바비킴
"""부부가 공위에 올라가 있다""를 1자로?"|쁑
소 두 마리가 산에 있으면?|쑛
감기에 또 걸리는 것은?|되감기
남자가 활을 사면?|가위(guy) 바이(buy) 보(bow)
비 오는 날 먹는 햄은?|습햄
부엉이가 물에 빠지면?|첨부엉 첨부엉
어벤저스는 어떤 펜을 쓸까?|블랙펜서
우리나라 군대가 어디에 있지?|군대군대
책 찢으면 나는 소리는?|북북
침대에서 가장 야한 것은?|이불(개야하니까)
육상대회를 하는데 출발 신호를 보냈는데 출전 선수인 그린이 출발을 안할때 심판이 하는 말은?|가그린
세상에 모든 아들을 잠들게 만드는 한자는?|아들 자
가, 나, 다 셋 중 누가 방귀를 뀌었을까?|방귀 뀐 놈이 성낸'다'
말이 쇼핑하는데 마음에 들지 않을 때 내는 소리는?|다그닥
나무가 욕을 하면?|목욕
톱 보고 나무를 캐라고 하면?|트리케라톱스
말이 죽어서 귀신이 되면?|마귀
곰돌이 푸가 닭을 타면?|푸 라이드 치킨
코가 없을 때 하는 말은?|노코멘트
추운 날씨에 호날두가 하는 말은?|호 날두 춥네
메시가 하는 말은?|오 메 시벌 춥네
트랜스포머가 여자친구가 없는 이유?|차여서
사랑에 빠진 오리는?|러버덕
저팔계가 정육점에 가서 한 말은?|저 팔게요?
겁쟁이가 들고 다니는 돌 10개는?|오돌오돌
오락실을 지키는 두 마리 용은?|일인용 이인용
물이 흩어지면?|해산물
가장 위험한 음식 3가지는?|치킨~탕~수육~피자
세상에서 가장 꿈이 큰 나무는?|왕꿈트리
어린이가 제일 좋아하는 기름은?|5월 오일
서울에 산이 없는 지역은?|서울산업대
다리미가 좋아하는 음식은?|피자
나무가 어딜 가면?|나뭇가지
피가 나서 욕을 하면?|피시방
아홉 마리 강아지가 알을 낳으면?|구독 알람
쥐를 피하면서 하는 말은?|GPS
새싹을 자르면?|싹 뚝
끝이 없이 나오는 구이는?|3.1415구이
마녀가 뱀으로 변신하면?|Sssss위치
세상에서 가장 잘 부러지는 창은?|와장창
세상에서 제일 큰 숫자는?|10002
'죽도 밥도 아닌 음식'을 스페인어로 하면?|리조또
벌이 얼어서 죽으면?|Be 동사
"""친구한테 돈을 빌려 줬는데 돈을 받을 것 같다""를 4자로?"|아마겟돈
치킨을 시켰는데 콜라를 안줘서 종업원에게 물으니 종업원이 하는 말은?|업소용
상인이 메추리알이 안팔릴 때 하는 말은?|메추리 안나오네
터널이 주황인 이유는?|주화아아아아아아아앙
뚜비가 길을 가고 있는데 나나가 밥을 먹고 있었다|뚜비두밥
세종대왕이 마시는 우유는?|아야어여오요우유
가장 멋진 사람은?|바로 나
힘센 아버지를 3자로?|부가세
좀비는 왜 멍청할까?|머리가 좀비어서
울면 안 되는 날은?|중국집 쉬는 날
세상에서 가장 따뜻한 라면은?|너와 함께라면
철구가 운동을 권장할 때 하는 말은?|아령하세연
비가 애를 낳고 나면 어떻게 될까?|P(B가 애를 낳아서)
다이하드를 한글로 하면?|사후경직
재생을 욕하면?|디스플레이
나의 시험 성적을 알려 주지 않는 이유는?|내성적이어서
아빠가 너무 깨끗하지 않아요|부드럽다
평일에 교회를 가지 않는 이유는?|주말을 듣기 위해
성경에서 산수를 제일 못하는 사람은?|모세
성경에서 시험만 치면 모두 100점을 받는 사람은?|미리암
인류 최초의 동물원은?|노아의 방주
성경에서 중 늘 자신을 봐 주기를 원하는 사람은?|바라바
보통 사람보다 손이 하나 더 있는 사람은?|삼손
성경에서 장사를 제일 잘하는 사람은?|사라
성경에서 장사를 제일 못하는 사람은?|사가랴
성경에서 거지 근성이 제일 많은 사람은?|막달라마리아
성경에서 귀가 제일 밝은 사람은? / 이 사람 앞에선 비밀을 잘 지켜야 한다?|들릴라
성경에서 옷을 제일 잘 입는 사람은?|입다
성경에서 딸을 가장 많이 낳은 여인은?|막달딸 라 마리아
예수가 옷 매장을 둘러보다가 정말 마음에 드는 옷을 발견하고 종업원에게 한 말?|예루살렘
예수가 옷이 작을 때 하는 말은?|십작아
신이 인간 세계에 내려와서 말을 타고 이동할 때 말 상인이 신한테 한 말은?|지져스, 무슨말이 필요해
기독교인이 중독된 2가지 약은?|구약, 신약
하나님도 부처님도 싫어하는 비는?|사이비
'자기의 애인'을 3자로?|하나님
예수가 마구간에서 태어난 이유는?|엄마가 마리아
개신교가 개신교인 이유는?|(일요일마다) 똑똑.. 개신교~
예수가 눈물을 흘리면?|주륵
예수의 불명은?|지져 스님
꿈속에 나타난 예수의 실루엣을 뭐라고 할까?|몽테크리스도
예수님! 주량은 얼마나 되세요?|5병이어
예수가 배가 고파서 식당에서 주문한 음식은?|야곱(야채곱창)
그런데 야채곱창을 먹다가 그만 배에 흘려버리고 말았다|"""아, 배드로 ㅡㅡ"""
하나님의 이상형은?|아담하고 이브(쁘)장한 사람
소가 예수믿으면|교도소
예수가 앉은뱅이를 일으키면?|두발자유화
예수가 자기돈으로 밥살때 제자들이 부르는 노래는?|주의 자비가 내려와
예수가 먹는 음식은?|주식
예수가 나쁜놈들은 어떻게 벌하나?|지져쓰!
예수 제자가 왜 열두명인지 아냐?|컨트롤하기 좋으라고(스타크래프트).
예수가 꿈을 꾸면?|주몽
마룬파이브가 크리스챤인 근거는?|예수 플리즈~
예수가 이국적으로 생기면?|이국주
"""예수를 믿으시나요?""를 경상도 말로 하면?"|거 누구 개신교?
갓 태어난 아기가 우는 이유는?|밥줄이 끊겨서
조물주가 인간을 진흙으로 빚은 증거는?|열받으면 굳어진다.
조물주가 인간에게 준 3개의 손은?|왼손, 오른손, 겸손
하나님이 구원을 주는 이유는?|십일조로 1원을 미리 떼서
예수가 자기를 배신할 사람을 어떻게 알았을까?|날 배신할 사람은 바로 You다.
예수가 승천하면?|주가상승
교회가 가성비가 좋지 않은 이유는?|11조나 냈는데 9원 밖에 안줘서
예수가 잠이 올 때마다 부른 제자는?|베드로
요한이 싫어하는 음식은?|요한 '묵'시록
천사가 백명 모이면 몇인분 역할을 하나?|1400명
카드캡터 체리의 직업은?|고양이 수의사(캣치유~ 캣치유~)
술 마시고 내는 돈은?|주머니
할아버지와 할머니가 강한 이유는?|노약자
가장 명중률이 낮은 무기는?|섬광탄(빛 나가니깐)
나훈아가 싫어하는 채소는?|무시로
마구간 지기가 과묵한 이유는?|말을 아껴야 하니까
농가 매출의 20%를 차지하는 상품은?|메추리알
비범한 여자는?|김태희
노예가 전국 일주를 하는 것을 4자로?|종 전국 가
아이폰 11pro가 별로인 이유는?|89프로 부족해서
투수 중에 컴맹이 많은 이유는?|투수는 타자 연습 안하니까
가장 큰 총을 가진 왕은?|왕건
할머니, 할아버지가 자존감이 높은 이유는?|자기애가 커서
자동차에서 제일 시원한 자리는?|차 가운데
선박을 평가하는 사람은?|배타 테스터
뚱뚱한 아랍 부호를 3자로?|무슬림
밥 먹으면서 전화하면?|무전취식
그대가 초성 마을에서 고속버스를 타면?|극댓값
대학원생이 제일 싫어하는 색은? |초록
가장 미식가인 철학자는?|서양엔 프로이트, 동양엔 묵자
인천을 1자로?|숮(人 天)
세상에서 제일 작은 전쟁은?|십자근전쟁
가장 매운 칼은?|칼칼
칼이 죽으면?|주검
의사 : 어떻게 오셨나요?|편도염
멕시코 사람들이 가장 좋아하는 생선국은?|가자미국
은행원이 없는 은행은?|무직뱅크
장보고가 발기하면?|보고서
아이를 키우고 싶은 사람의 지능 지수는?|IQ93
"""이 아이는 대체 뭐지""를 영어로?"|먼데이키즈
과거 프랑스에 사형수가 넘쳤던 이유는?|사형 도구가 단 두대 밖에 없기 때문
도가 크면?|도 라지
아버지가 생선 드실 때 하시는 말은?|어두컴컴
세상에서 가장 안전한 감옥은?|안전제일
말은 영어로 호올스, 그럼 말 두 마리는?|짝수
USB에 데이터를 더 넣을 수 없는 이유는?|기가(Giga) 차서
"""그의 아내가 확실하다""를 4자로?"|걔처맞음
"사람들에게 자기소개를 할 때 ""아 힘들어"|화가(I'm draw)
시험 치다 두 손 두 발 다든 이유는?|사지선다라서
쥐의 엉덩이 라인은?|O 라인(G ass o line)
집을 나설 때는 항상 밸브를 잠가야 하는 이유는?|gas oline 채로 나가면 큰일 나기 때문
"""스님이 숫자를 6까지 세었다""를 4자로?"|식스센스
대머리는 투표를 하지 못하는 이유는?|뽑을게 없어서
짐승이 자기소개할 때는?|금수 접니다
어디론가 도망갔다를 영어로?|랜섬웨어
규칙으로 행복한 세상을 4자로?|룰루랄라
칼이 못 들어가는 강은?|엑스칼리버
말에게 뿔이 생기면?|발
전투기 조종사들이 제일 무서워하는 것은?|대공포
세발낙지가 탈모가 오면?|한발낙지(두발이 없어져서)
토끼가 강한 이유는?|깡과 총이 있어서
개가 재채기를 하면?|개추
흡혈귀들이 식탁에서 웃음이 끊이질 않는 이유는?|피 식(食) 하기 때문
스님이 택시를 타고 한 말은?|절로가
0과 1로만 구성된 열차는?|binary는 호남선~ 남행열차에
심마니에게 집 주소를 물으면 돌아오는 대답은?|산삼
마블보다 4배 큰 국내 기업은?|넷마블
녹색은 무슨 색?|갈색
어떤 혈액형의 경찰관이 제일 많을까?|B형~ B형~
삼행시 운 띄우다가 실수했을 때 하는 행동은?|새로운 시작
송아지가 미국에 가면 온순해지는 이유는?|아 지송
오리가 옳다고 인정하면?|덕수긍
차 열쇠 색깔은?|카키색
다정함의 반대말은?|선택 장애
일본인들이 달걀을 먹기 시작한 시기는?|a long たまご(타마고)
유모차 타면 긴장되는 이유는?|애가 타서
랩몬스터가 죽으면?|고랩 몬스터
래퍼가 헌혈하면 경찰서에 잡혀가는 이유는?|Rapper 래퍼가 피(p)를 빼면 raper가 되기 때문
DNA가 복제될 때 나는 소리는?|딸 가닥(daughter strand)
바람의 엉덩이를 부르는 말은?|풍뎅이
친일파 동물을 뭐라고 하나?|애완용
미국과 러시아가 싸우면 승패를 가늠할 수 없는 이유는?|미러(mirror) 전이기 때문
문신을 지우는 방법은?|무신정변
고양이한테 '야옹'이라고 하면 뭐라고 답할까?|왜옹
심영이 러시아로 귀화하면?|알파인스키
청바지를 돋보이게 하는 걸음걸이는?|진주목걸이
시험 끝나면 친구들끼리 회식하는 곤충은?|반뒤풀이
김구는 소를 몇 마리 기를까?|나의 소one
일본인이 차범근을 응원할 땐 뭐라 할까?|간발의 차
은행원들은 파란색을 좋아하는 이유는?|청 약해지가 싫어서
레스토랑에서 스튜를 주문했는데 안 나오면 하는 말은?|스튜어디스
털이 길게 자란 남자를 4자로?|모자란 놈
러시아 사람이 점프하면?|스키점프
나방의 어머니뻘 되는 동물은?|맘모스
파워포인트가 목이 없으면?|제 목을 입력해주세요
천을 서로 비비면?|천문대
레이저 총이 안 맞는 이유는?|총이 빛나가서
투명인간은 몇 명이나 있을까?|2명
속이 안 좋은 레슬링 선수는?|더 부룩 레스너
금요일에 이사 가는 것을 5자로?|새마을 금고
우연히 좋은 일이 생겼을 때 마시는 차는?|헛 개꿀 차
성시경을 먹으면?|위장내 시경
베트남에서 가장 잘 날아다니는 동물은?|박쥐(bat)
고양이를 정말 좋아하는 종교는?|Catholic
가을비가 오면 추워지는 이유는?|秋雨니까
귀걸이 한 군인은?|귀뚫아미
한양을 영어로 하면?|Yes sir(옛 서울)
핀란드가 기아자동차를 싫어하는 이유는?|노키아
노인과 바다를 3자로?|Sea에 틀
야구하는데 5회 초에도 답이 없으면?|OMR 카드를 꺼낸다
앉으면 졸린 이유는?|안자서
여동생이 시집가면 언니가 무서워하는 이유는?|'처형' 되니까
골키퍼에게 필요한 영양소는?|막으네슛
소화기 내과의사가 퇴근하는 시간은?|내시경
한반도 역사상 이집트 종교를 믿었던 시대는?|신라시대(태양신 Ra)
노인을 묶으면?|타이틀
석가모니의 직책은?|중대장
김구가 50만 원을 투자했는데 이것을 두배로 불리면?|백범 김구
Michael Jackson이 잘 될 수밖에 없던 이유는?|마이 클 잭슨
가난한 사람들의 쇼는?|도와줍쇼
동생 생각만 나면 우는 동물은?|늑대(아우!)
이자 없이 꾸는 것은?|꿈
공룡도 화장실 간다는 증거는?|남녀공룡화장실
도레미를 소환하는 사람이 무서운 이유는?|파도 소환하니까
간첩을 부르면 매운 이유는?|헤이 스파이씨
시력이 안 좋은 나무 늘보의 눈에 나무는 무슨 색으로 보일까?|나무늘보라색
자동차가 죽으면 묻히는 무덤은?|부르릉
아랍인들이 모르는 척을 잘 못하는 이유는?|"물으면 ""아랍""이라고 대답하기 때문"
설거지할 때 그릇을 돌리면서 씻으면?|워싱 턴 디쉬
한숨이 헤픈 사람은?|휴 헤프너
아이를 만든 사람은?|허수(i)아비
언론통제를 다른 말로 하면?|보도블럭
강원도 산골에서 5G가 터지면 하는 말은?|역시 오지는 오지구나
인어 공주의 성씨는?|완도도씨
석가모니가 흑사병에 걸린 지역은?|부다페스트
겸손한 사람은 절대 빌려주지 않는 금액은?|5만불
용궁이 문란함의 상징이었던 이유는?|성 in 물
할아버지가 암소를 부르면?|She bull
상급 바다 진주를 영어로 하면?|에이 sea pearl
입고 나오는 옷마다 품절시켜버리는 남자는?|완판 맨
케이블카가 입을 옷 고를 때 하는 말은?|어떠케 이블카?
땅 중에서 제일 멋있는 땅은?|개간지
센 척하는 애들이 활동하는 갤러리는?|가오갤
가장 '정의로운' 달은?|10월(악 토 벌)
김태희가 껄끄러워 하는 어벤저스 멤버는?|"완다 막시노프(""비전""여친이기 떄문)"
전공수업이 없는 학과는?|안 전공 학과
아프리카 부족 중 제일 큰 부족은?|물 부족
부르기 나쁜 나라는?|부르기나파소
파도가 세게 불면 굴 채집을 안 하는 이유는?|거친 파도에도 굴하지 않기 때문
어느 날 말에 날개가 달리면?|마른하늘을~ 달려~
세상에서 가장 잘 속는 음식은?|소금
문이 더울 때 하는 말은?|아이 도어락
퉁퉁이 엄마의 이름은?|모퉁이
기린이 가장 많이 사는 나라는?|독일(도기린이 많이 살아서)
세상에서 가장 부정적인 동물은?|말(다그닥 다그닥 하면서 지나감)
민망한 고양이를 3자로?|머쓰캣
닭에게 사이즈가 작은 옷을 입히면?|꼭끼오
뒤로 달렸을 때 가장 빠른 동물은?|하마(거꾸로 하면 마하)
원숭이를 재울 때 하는 말은?|자몽
식물의 이빨이 딱딱한 이유는?|I'm plant
만수르가 입원한 이유는?|부 상당해서
일본인 9명이 모이면?|왜구
뇌 박사가 우는 사람에게 하는 말과 우는 사람이 하는 말은?|좌뇌, 우뇌? 아이고 나 중뇌
G드래곤이 쓰러진 채 발견돼?|'쥐 들에 곤히 쓰러진 채 발견돼..'
새엄마의 입장에서 아들의 점을 봐주면?|미시적 관점의 양자 역학
화학이 어려운 이유는?|캐미스터리
감옥을 돌로 지으면 안 되는 이유는?|석방되니까
pc방의 날씨는?|갬
바늘을 철로 만들면 안 되는 이유|needle은 iron거 하지 마라.
삶의 보람을 거꾸로 하면?|람보의 삶
별명이 9999인 사람은?|넬슨 만될라
음식을 많이 먹는 사람이 재미있는 이유는?|창자 규모가 뛰어나서
부산대에서 10명의 스님이 쉴 때 하는 말은?|부대 열중쉬어
똥만 싸면 변기가 막히는 이유는?|변 기가 막히게 싸서
히어로들의 뼈는 무슨 색일까?|영웅 bone색
U턴을 완벽하게 하는 사람은?|클린턴
길 가다 나무를 주우면?|우드득
숫자 5가 싫어하는 집은?|오페라하우스
왕이 오른쪽에도 있고 왼쪽에도 있으면?|우왕좌왕
모의고사의 반대말은?|흩어져셔 팔아
"""형들 일본인이야?""를 영어로?"|브로s 왜인?
내 다리가 쭉쭉 빠지지 않은 것을 한탄할 때 하는 말은?|외나무다리
일본 음악을 2자로?|왜곡
나는 자전거를 타지 못한다를 영어로?|모터사이클
게임 뮤직을 다른 말로?|오락가락
로봇 형사 가제트의 성은?|마징
오리는 있지만 거위는 없는 것은?|지하철역
가장 기분 좋은 바람은?|신바람
아침식사로 먹을 수 없는 것은?|점심과 저녁 식사
감기에 빨리 걸리면?|빨리 감기
바람이 불면 흔들리지 않고 바람이 안 불면 흔들리는 것은?|부채
"""옷장 안에 불이 났다""를 5자로?"|장안의 화재
가장 길고, 가장 짧은 단어는?|생략
결정 장애가 많은 대학은?|고려대학교
오래 살 것 같은 연예인은?|이승깁니다
감자가 의문을 품으면?|웨지감자
편하게 앉을 수 없는 방석은?|가시방석
웃긴 이빨은?|펀치
영국 축구 대표 팀에서 오랫동안 뛰었던 일본인은?|왜인 루니
알파벳이 눈물을 흘리면?|운영자
인터넷에서 가장 많이 볼 수 있는 색은?|검색
엄마들이 아침마다 말하는 나라는?|일어나라
회의하러 가는 것을 3자로?|회의감
세상에서 가장 예쁜 식물은?|뷰티풀
가면 갈수록 멀어지는 곳은?|출발지
가장 보기 싫은 개는?|꼴불견
자기 전에 먹는 과자는?|눈을 감자
똥의 성씨는?|응가
군인이 돈을 다 쓰면?|무전병
숫자 8을 둘로 나누면|3 또는 0
군인들이 가장 싫어하는 창문은?|영창
야구 모자를 때리면?|야구아빠가 달려옴
아빠는 차가 4대 아들은 차가 1대인 것을 4자로?|세대차이
입으로 먹지 않고 귀로 먹는 것은?|욕
63빌딩에서 떨어져도 살 수 있는 방법은?|1층에서 떨어진다.
스님을 때리는 사람은?|중매쟁이
눈물 없이 우는 것은?|새
한 몸에 심장이 2개인 사람은?|임신부
군인들이 좋아하는 시간은?|저녁
들어갈 때는 잔뜩 짊어지고, 나올 때는 아무것도 없는 것은?|숟가락
불이 났는데 빨리 뛰지 않는 이유는?|화재경보
세상에서 가장 웃긴 글은?|싱글벙글
겉으로는 눈물을 흘리며 속이 타는 것은?|촛불
색색이 옷을 입어도 늘 검게 보이는 것은?|그림자
나무들이 나오는 드라마는?|수목드라마
추운 날에는 보이지만 더운 날에는 보이지 않는 것은?|입김
향긋한 냄새가 좋은 이유는?|향good하니까
아재가 좋아하는 악기는?|아쟁
세상에서 가장 큰 콩은?|홍콩
길면 길수록 좋은 강은?|만수무강
백가지 과일이 죽기 직전을 4자로?|백과사전
우리나라 꼬마도 알지만, 외국인은 어른도 모르는 것은?|한국어
목욕탕에 가면 두고 나오는 것은?|때
간을 깔고 자면?|간이침대
쉽게 속는 사람이 많이 모이는 서버는?|속눈썹
고기만두가 고기를 보고 하는 말은?|내안에 너 있다.
아껴서 먹는 약은?|절약
닭이 열받으면 어떻게 되나?|통닭이 된다.
바바리맨이 축구를 못하는 이유는? |노골적이라서
높은 곳에서 기다리면?|고데기
죽은 뒤에 예쁘게 꾸미면?|사단장
전문가의 느낌은?|프로필
새를 무서워하는 사람이 안 가는 곳은?|세무서
스님이 열받을 때 하는 음식은?|중화요리
불이 다섯 개면?|오빠야(5 Fire)
치킨을 좋아하는 축구팀은?|kfc
다이하드를 한글로 하면?|사후경직
왕이 둥둥 떠있으면?|공중전화
푸가 샴푸로 머리를 감고 그 다음에 하는 것은?|프린스
남씨 성의 여자를 눈여겨보는 것은?|남양주시
개랑 사람만 사는 곳은?|견인지역
전기 맛이 나는 파이는?|와이파이
백설공주가 총을 격발하면?|백설탕
철망을 벗겨낸 선풍기는?|깐풍기
새와 말이 같이 있는 것을 3자로?|조랑말
거북이가 구토한 이유는?|속이 거북해서
소금을 가장 비싸게 파는 방법은?|소와 금을 분리해서 판다.
진정한 프로의 자세는?|프로포즈
겉은 보름달이고 속은 반달인 것은?|귤
양념게장의 반대말은?|후라이드 게장
말을 못하는 시골 동네를 2자로?|읍읍
뱀을 불에 구우면?|뱀파이어
토마토는 거꾸로 하면 토마토, 쓰레기통을 거꾸로 하면?|쏟아진다.
계속 거짓말을 하는 사람은?|또라이
중고 램이 2기가짜리 밖에 없는 이유는?|4기가 애매하고 8기가 애매해서
바다에서 태어났지만 바다로 가면 사라지는 것은?|소금
모든 일을 대충 하는 사람들이 모여 있는 땅은?|얼렁뚱땅
전화기가 다니는 중학교는?|부재중
목적지가 얼마나 먼지 물어볼 때 하는 말은?|아주머니?
때리면 살고 안 때리면 죽는 것은?|팽이
구두쇠가 가장 좋아하는 색은?|인색
미스에이가 먹는 쌀은?|유돈노미
무가 자기소개할 때 하는 말?|나무
"""술과 차를 팔지 않는다""를 4자로?"|주차금지
독수리가 불에 탈 때 나는 소리는?|이글이글
먹을수록 힘이 빠지는 것은?|더위
자주 고장 나는 배는?|불량배
서서 쉬고 누워서 일하는 것은?|가야금
가장 찐따 같은 기름은?|All leave you
들어가는 입구는 하나지만 나오는 입구는 2개인 것은?|바지
선박을 평가하는 사람은?|베타테스터
돌이 죽으면?|고인돌
쿵 씨의 딸 이름은?|샤바라(쿵따리샤바라)
엄마 품을 떠나면 주는 신분증은?|탈모증
온순한 닭은?|네네치킨
피아노를 던지면?|어떻게 피하노
필리핀 갈 때 돈을 많이 들고 가면 안 되는 이유는?|동남아
제일 유명한 파는?|파스타
푸틴이 15살 때?|피푸틴
헤어숍에서 키우는 개는?|미용도구
아빠가 신는 슬리퍼는?|부조리(父 + 쪼리)
비가 아이를 낳으면?|아이나비
높은 곳에서 바람이 불면?|고시원
약을 누르면?|약꾹
아직 철이 안 들은 아기를 뭐라고 할까?|철없 베이베 철없 베이베
홍길동이 고소를 당하면?|서에서 뵙죠 했는데 동에 번쩍 함
노비 사이에 태어난 아기가 말을 하기 시작하면?|종말의 시작
지금 키보드를 사면 눈치 받는 이유는?|키보드는 Japan이니까
남자가 여성호르몬 주사를 맞으면?|남희석
야한 잡지의 반대말은?|건전지
독재를 5자로?|나홀로지배
침묵을 영어로 하면?|노말
지나가는 웨딩카를 보면서 하는 말은?|아 메리카노
스님이 되기 위해 할 일은?|불법 다운로드
댕댕이가 급식충이 되면?|댕기머리(댕 + 기모띠)
오래된 물을 마시면 안 되는 이유는?|수상해서
감전사한 사람의 유언은?|먼저감, 전
"""엄마는 애쓴다""를 다른 말로?"|msg
"""통닭 10마리 더 주세요""를 4자로?"|치킨텐더
뉴스에 잘못 나온 음악 연주는?|오보에 연주
살기 싫다|그래서 나는 살기를 내뿜지 않는다.
인천을 1자로?|숯(人天)
길을 몰라서 짜증 내는 자동차는?|A! Udi?
세상에서 가장 작은 규모로 일어난 전쟁은?|십작은 전쟁
군대 가기 싫은 사람들이 꾸는 꿈은?|MC 몽
모든 사람이 일어서면?|다이렉트
시리아에 모기가 살지 않는 이유는?|모기 남아나지 않아서
초원에서 라면을 끓이면 짠 이유는?|저 푸른 초원 위에 짜짜라짜라짜짜~
소닉이 기억상실증에 걸리면?|SONY(ㄱ 상실)
여장남자 콘테스트의 참여자는 총 몇 명?|0명(참여자가 아닌 거짓여자이기 떄문에)
다들 염기성인데?|남한산성
잉어킹이 갸라도스로 진화한 후 한 말은?|이재 용
산불 이후에 남는 것은?|탄산
태양이 왕이 되면?|해킹
2가 아닌 숫자는?|이외수
부처님이 일어서면서 하는 말?|선불입니다.
벌레들이 머리 긁을 때 나는 소리는?|벅벅벅벅
박찬호, 박세리, 박태환, 박지성 등 박 씨들의 세상을 4자로?|또박또박
타자를 가장 잘 못 치는 사람은?|오타쿠
세상에서 제일 잘 숨는 왕은?|클로킹
임산부에게 치명적인 균은?|유산균
허각이 섹스하면?|정사각형
병원에서 소아의 피를 수혈받기 원하는 환자가 하는 말은?|IP 주소
'김에다 밥 싸 먹는 이야기'를 다른 말로?|바비 킴 만난 이야기
축구 경기를 하면 골을 잘 못 넣는 회사는?|골드문(영화 신세계)
물리학자가 웃을 때 내는 소리는?|physic
뽀로로가 납치범에게 잡혀간 이유는?|포로로 납치 당함
연금술사들이 많이 이용하는 역은?|금연구역
와이프가 언니를 소개해주겠다고 집에 데려온 것을 4자로?|공개처형
사랑니가 이상하게 나면 느끼는 아픔은?|치밀어오르는 아픔
폭우가 심하게 쏟아질 때 필요한 사람은?|비서
중국산 소금을 구별하기 어려운 이유는?|짭잘해서
헌혈하면 경제가 어려워지는 아이돌은?|지드래곤(GDP 깎임)
탕을 보면?|보신탕
부부기 금슬이 좋은 비결은?|별거없음
논에 구멍을 깊이 파는 것을 3자로?|논뚜렁
아기돼지 3형제에서 1마리 더 낳으면 다 죽는 이유는?|아기돼지 사형제 생겨서
가슴으로 불러야 하는 민요는?|젓가락
파브르가 경찰서에 잡혀간 이유는?|잠자리를 관찰함
못이 망치에 아무리 맞아도 피가 안나는 이유는?|모세혈관이 없어서
아이폰을 킬 수 있는 동물은?|드래곤(drag on)
한자리 제곱수들이 쎈 이유는 뭘까?|941쎙
RPG 게임에서 피가 나오는 것을 삭제하면?|지
인도네시아 이름의 유래는?|인도의 4시 방향에 있어서
김태희가 시어머니한테 결혼 승낙을 받을 때 부른 노래는?|렛 잇 비
오이가 집을 나가면?|ㅚ출(ㅚ박)
햇볕을 막을 수 있는 선율은?|파라솔
토박이 한국인들이 개그를 잘 못 치는 이유는?|재일 재미가 없어서
김소월이 수능을 볼 때 수리 가형을 보는 이유는?|나 보기가 역겨워
탁구하다가 기침이 나오면?|핑크퐁
알파벳이 눈물을 흘리면?|운영자
고양이를 재울 때 하는 말은?|자캣
세상에서 가장 오래된 치킨은?|구닥다리
천문학자가 목소리가 바뀌고 하는 말은?|목성형 행썽
하늘 전체를 통틀어서 너 같은 개새끼는 없을 거야 존을 8자로?|천상천하 유아 독존
SanE를 고자로 만드는 방법은?|염기를 섞어서 중성을 만들면 됨
군대에서 슬픈 계급은?|소장, 대장(이별, 사별)
자기의 눈이 매력적이라고 아는 사람이 가진 것은?|눈부심
산불이 났을 때 발생하는 기체는?|탄산가스
예전 사람들이 가장 많이 쓴 종이 크기는?|B4 용지
웃긴 이빨은?|펀치
개가 화를 쉽게 내는 이유는?|분노 개 이지 폭발
바쁘신 어머니를 위한 음악은?|BGM
남자아이를 불에 태우면 나오는 것은?|손연재
기독교인들이 좋아하는 숫자는?|61(예순하나)
바구니에 맞으면 아픈 이유는?|박으니까
서비스가 허접한 식당이 노벨상을 받은 이유는?|테이블에 벨이 없어서
그녀의 노래는 벽에 대해 말하고 있어요를 4자로?|허송세월
대학교 앞에 공을 4자로?|공과대학
로버트 할리가 심은 나무 이름은?|할리우드
소리가 나는 금은?|BGM(브금)/가야금
가장 자주 부르는 성씨는?|택
돌하르방이 서커스단 보고 하는 말은?|제주도 좋다.
불이 났는데 빨리 뛰지 않아서 타 죽은 이유는?|화재 경보하느라
새가 피곤하면?|조강 지처
중앙대 학생이 집에서는 공부를 못 하는 이유는?|집중앙대
"""장그래가 밥을 먹는다""를 영어로?"|Great
내가 인절미 좋아한다고 말하니 미국인 친구가 흉기를 꺼낸 이유는?|Injure me
일본 해적들이 쳐들어 왔을 때 하는 말?|걔네들 왜구래?
코가 긴 장군은?|장비
여우짓 하는 여자를 영어로?|20th century fox
땅이 급상승하면?|지붕
쓰 가운데가 분홍색이면?|스핑크스
시각장애인들이 하는 일은?|봉사활동
진시황이 불로초를 생으로 먹은 이유는?|신선식품이라서
세상에서 제일 느긋한 공룡은?|릴렉스
공원이 늙으면?|팍삭
뮬란이 경찰한테 잡혀간 이유는?|풍기뮬란
형이 마왕을 무찌르면 형은 무엇이 될까?|형용사
이성계가 미국 해군을 만나고 나서 들은 이야기는?|we are the haegun
엄마가 상자면?|megabox
원판을 돌리는 중국인은?|판빙빙
멕시코인들이 가장 좋아하는 해물탕은?|가자미국
주식이 하던 직장인이 굶어 죽은 이유는?|주식이 떨어져서
이름이 없어진 이유는?|잃음
사물놀이하다가 비트박스를 시작한 이유는?|북치기빡치기해서
선배들이 작별 인사를 강하게 하는 이유는? |센빠이라서
할머니가 할아버지를 그리워하는 것은?|옹알이
R-P|알다시피
집밥의 성씨는?|집밥 은씨유
일어나를 다른 말로?|와따시
비단구렁이의 몸무게는 얼마?|π톤 
000007|오공본드
가장자리에 있는 돌은?|구성
형제 중 곱슬머리가 있으면?|브로컬리
구미시장이 가장 좋아하는 간식은?|마이구미
동네에서 가장 복싱을 잘하는 사람은?|상점(샵) 주인
